Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,Brand,Model
Mumbai,72000,CNG,Manual,First,37.24,998.0,58.16,5.0,1.75,12,Maruti,WagonR
Pune,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5,7,Hyundai,Creta1.6
Chennai,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5,11,Honda,JazzV
Chennai,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0,10,Maruti,ErtigaVDI
Coimbatore,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74,9,Audi,A4New
Hyderabad,75000,LPG,Manual,First,29.54,814.0,55.2,5.0,2.35,10,Hyundai,EONLPG
Jaipur,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5,9,Nissan,MicraDiesel
Mumbai,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5,6,Toyota,InnovaCrysta
Pune,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2,9,Volkswagen,VentoDiesel
Chennai,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95,10,Tata,IndicaVista
Kochi,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95,4,Maruti,CiazZeta
Kolkata,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49,10,Honda,City1.5
Jaipur,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6,7,Maruti,SwiftVDI
Delhi,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0,8,Land Rover,RoverRange
Pune,85000,Diesel,Automatic,Second,18.236512961941532,2179.0,115.0,5.0,17.5,10,Land Rover,RoverFreelander
Delhi,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0,8,Mitsubishi,PajeroSport
Kochi,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4,6,Honda,AmazeS
Jaipur,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99,5,Maruti,SwiftDDiS
Kochi,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34,8,Renault,Duster85PS
Bangalore,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0,8,Mercedes-Benz,NewC-Class
Kochi,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55,8,BMW,3Series
Bangalore,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25,7,Maruti,SCross
Mumbai,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5,7,Audi,A62011-2015
Kolkata,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87,12,Hyundai,i201.2
Kolkata,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85,12,Volkswagen,VentoPetrol
Mumbai,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25,10,Honda,CityCorporate
Hyderabad,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25,10,Nissan,MicraDiesel
Hyderabad,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75,9,Maruti,AltoK10
Kochi,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9,4,Honda,WRVi-VTEC
Mumbai,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,15,Toyota,Innova2.5
Bangalore,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75,9,Renault,Duster110PS
Delhi,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75,10,Toyota,CorollaAltis
Bangalore,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5,9,Mahindra,SsangyongRexton
