age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome
65+,female,majority,0-9y,high school,upper class,0.629027313918201,True,after 2015,False,True,12000.0,sedan,0,0,0,False
16-25,male,majority,0-9y,none,poverty,0.3577571170184627,False,before 2015,False,False,16000.0,sedan,0,0,0,True
16-25,female,majority,0-9y,high school,working class,0.4931457852181982,True,before 2015,False,False,11000.0,sedan,0,0,0,False
16-25,male,majority,0-9y,university,working class,0.2060128507324556,True,before 2015,False,True,11000.0,sedan,0,0,0,False
26-39,male,majority,10-19y,none,working class,0.3883658881572184,True,before 2015,False,False,12000.0,sedan,2,0,1,True
40-64,female,majority,20-29y,high school,upper class,0.6191273725847388,True,after 2015,False,True,13000.0,sedan,3,0,3,False
65+,male,majority,30y+,high school,upper class,0.4929435502195342,False,after 2015,True,True,13000.0,sedan,7,0,3,False
26-39,female,majority,0-9y,university,working class,0.4686892974344649,False,after 2015,False,True,14000.0,sedan,0,0,0,True
40-64,female,majority,20-29y,university,working class,0.5218149362971065,False,before 2015,True,False,13000.0,sedan,0,0,0,False
40-64,female,majority,0-9y,high school,upper class,0.5615310319383646,True,before 2015,False,True,11000.0,sedan,0,0,0,True
65+,male,majority,30y+,high school,upper class,0.6203612640126029,True,after 2015,True,True,10000.0,sedan,6,2,7,False
65+,female,majority,30y+,high school,upper class,0.7298308815593941,True,after 2015,True,False,12000.0,sedan,4,0,0,False
40-64,male,majority,20-29y,high school,upper class,0.6370447435902447,True,before 2015,True,True,8000.0,sedan,4,1,2,False
16-25,female,majority,0-9y,university,upper class,0.59125997174597,True,before 2015,False,True,11697.003206900365,sedan,0,0,0,False
26-39,male,majority,10-19y,high school,middle class,0.4615679630439447,True,before 2015,True,True,12000.0,sedan,0,2,1,False
26-39,female,majority,0-9y,high school,upper class,0.7627979410816134,False,after 2015,True,False,11697.003206900365,sedan,0,0,0,False
65+,male,majority,30y+,university,upper class,0.7961748462456987,True,before 2015,True,True,11697.003206900365,sedan,10,2,1,False
16-25,male,majority,0-9y,none,poverty,0.34833133094379204,False,before 2015,True,False,12000.0,sedan,0,0,0,True
26-39,female,majority,0-9y,university,upper class,0.6805942795073384,True,before 2015,False,True,11697.003206900365,sedan,0,0,0,True
16-25,female,majority,0-9y,high school,working class,0.4177139816231188,True,before 2015,False,True,18000.0,sedan,0,0,0,True
16-25,female,majority,0-9y,high school,working class,0.4095135306516067,False,before 2015,False,False,17000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,high school,middle class,0.5532600531952381,True,after 2015,True,True,8000.0,sedan,0,0,0,True
40-64,male,majority,20-29y,none,poverty,0.3309502618581893,True,before 2015,True,True,13000.0,sedan,3,1,1,False
16-25,male,majority,0-9y,none,poverty,0.34833133094379204,False,before 2015,False,False,17000.0,sedan,0,0,0,False
65+,male,majority,30y+,high school,upper class,0.5006306604427161,True,before 2015,True,True,7000.0,sedan,13,2,3,False
26-39,female,majority,10-19y,university,middle class,0.5519701813636283,True,before 2015,True,False,14000.0,sports car,0,0,0,False
40-64,male,majority,10-19y,high school,middle class,0.6269960497386653,True,before 2015,False,False,13000.0,sedan,1,1,0,False
26-39,male,majority,10-19y,none,poverty,0.2947974807719967,True,before 2015,True,False,15000.0,sedan,0,0,1,False
26-39,male,majority,10-19y,university,middle class,0.5519504952618395,False,after 2015,False,False,17000.0,sedan,0,0,1,False
65+,male,majority,0-9y,university,upper class,0.649820471216227,True,after 2015,True,True,9000.0,sedan,0,0,0,True
40-64,male,majority,20-29y,high school,middle class,0.5218044346397632,True,after 2015,True,True,7000.0,sedan,2,0,1,False
65+,female,majority,30y+,university,upper class,0.7012683240604196,True,before 2015,True,True,10000.0,sedan,3,1,1,False
16-25,male,majority,0-9y,none,poverty,0.1712440288213211,True,before 2015,True,True,9000.0,sedan,0,0,0,False
16-25,male,majority,0-9y,none,poverty,0.3184419972124171,True,before 2015,False,True,10000.0,sedan,0,0,0,True
26-39,female,majority,0-9y,high school,middle class,0.6046842696715551,True,before 2015,True,True,11000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,university,working class,0.5049948526440377,False,after 2015,False,False,8000.0,sedan,0,0,0,True
26-39,male,majority,10-19y,high school,working class,0.6251466352816216,True,before 2015,False,True,17000.0,sedan,3,0,2,False
40-64,female,majority,10-19y,none,middle class,0.5236585383213973,True,before 2015,True,True,11000.0,sedan,2,0,1,False
65+,male,majority,30y+,university,upper class,0.613826977680089,False,after 2015,False,True,12000.0,sports car,6,0,5,False
40-64,male,majority,10-19y,university,upper class,0.5781305873212035,True,before 2015,False,True,14000.0,sedan,1,0,1,False
65+,male,majority,30y+,high school,upper class,0.7054542902137054,True,before 2015,True,True,10000.0,sedan,5,1,3,False
40-64,male,majority,20-29y,university,upper class,0.6595254905875941,True,after 2015,False,True,16000.0,sedan,4,0,2,False
40-64,male,majority,20-29y,university,upper class,0.5873836120460223,False,after 2015,True,True,9000.0,sedan,10,2,0,False
16-25,male,majority,0-9y,none,poverty,0.4064824253974476,False,before 2015,False,False,16000.0,sedan,0,0,0,True
26-39,female,majority,10-19y,high school,poverty,0.2857471319596469,False,before 2015,False,True,13000.0,sedan,1,0,0,True
40-64,male,majority,20-29y,high school,middle class,0.5022849652731057,False,before 2015,False,False,14000.0,sports car,3,0,4,False
65+,male,majority,20-29y,high school,upper class,0.6256257210210231,True,after 2015,True,True,7000.0,sedan,7,0,5,False
40-64,female,majority,20-29y,university,upper class,0.613826977680089,True,after 2015,True,True,11000.0,sedan,3,0,2,False
26-39,female,minority,10-19y,university,working class,0.3931531299744003,True,before 2015,False,True,12000.0,sedan,1,0,0,False
26-39,female,minority,10-19y,none,working class,0.5039497598168121,False,before 2015,False,True,14000.0,sedan,1,0,0,False
40-64,male,majority,20-29y,university,upper class,0.6586274302571438,True,before 2015,True,False,14000.0,sedan,3,0,2,False
26-39,female,majority,0-9y,high school,working class,0.5241464657501199,False,before 2015,False,False,17000.0,sedan,0,0,0,True
65+,male,majority,20-29y,university,upper class,0.5531007570628673,False,after 2015,True,True,7000.0,sedan,9,0,1,False
16-25,female,majority,0-9y,university,working class,0.4475509489142775,False,before 2015,True,True,8000.0,sedan,0,0,0,True
16-25,female,majority,0-9y,none,working class,0.5107331365064207,True,before 2015,True,True,7000.0,sedan,0,0,0,True
26-39,female,majority,10-19y,high school,middle class,0.5236585383213973,True,after 2015,True,False,15000.0,sedan,0,0,0,False
16-25,female,majority,0-9y,high school,poverty,0.4613735917269193,False,before 2015,False,False,9000.0,sedan,0,0,0,True
40-64,female,majority,20-29y,university,middle class,0.3875569443647317,False,after 2015,False,True,12000.0,sedan,2,0,1,False
40-64,female,majority,20-29y,university,middle class,0.5701572256616224,True,after 2015,True,True,11697.003206900365,sedan,0,0,0,False
26-39,male,majority,10-19y,university,working class,0.5501250875743224,True,before 2015,False,False,16000.0,sedan,0,1,0,False
40-64,male,majority,20-29y,high school,working class,0.4529442316093683,False,before 2015,True,True,12000.0,sedan,3,0,1,False
26-39,male,majority,10-19y,university,upper class,0.613826977680089,True,before 2015,True,True,8000.0,sedan,2,0,1,False
40-64,female,majority,20-29y,high school,upper class,0.5352743096602144,True,before 2015,True,True,7000.0,sedan,2,0,0,False
16-25,female,majority,0-9y,university,middle class,0.6147359485632915,True,before 2015,False,True,15000.0,sedan,0,0,0,True
40-64,female,minority,20-29y,high school,poverty,0.4544471564329259,True,before 2015,True,True,11697.003206900365,sedan,1,0,1,False
40-64,female,majority,0-9y,university,upper class,0.6137409183819416,True,before 2015,False,False,11697.003206900365,sedan,0,0,0,False
40-64,female,minority,10-19y,high school,working class,0.5326613280250595,True,before 2015,True,True,11000.0,sedan,0,0,0,False
40-64,female,minority,0-9y,university,middle class,0.4277285143019345,True,before 2015,False,False,15000.0,sedan,0,0,0,True
65+,male,majority,20-29y,university,upper class,0.6859457213719147,True,before 2015,True,True,5000.0,sedan,4,1,4,False
65+,male,majority,10-19y,university,upper class,0.6936124267187082,True,before 2015,True,True,10000.0,sedan,2,0,0,False
65+,male,majority,20-29y,high school,upper class,0.5979905963582334,False,before 2015,True,True,12000.0,sedan,2,1,7,True
26-39,male,majority,0-9y,none,poverty,0.3308186664986927,False,after 2015,True,True,12000.0,sedan,0,0,0,True
40-64,male,majority,20-29y,high school,working class,0.43192928411686055,True,before 2015,False,False,12000.0,sedan,5,0,7,False
26-39,female,minority,10-19y,none,working class,0.43192928411686055,True,before 2015,False,True,9000.0,sedan,2,0,0,False
16-25,male,majority,0-9y,high school,middle class,0.5083042183803546,True,before 2015,False,True,16000.0,sedan,0,0,0,False
26-39,female,majority,0-9y,university,upper class,0.7641329165005233,True,before 2015,True,True,12000.0,sedan,0,0,0,False
40-64,female,majority,0-9y,university,middle class,0.4775169603837716,True,after 2015,True,True,14000.0,sedan,0,0,0,False
40-64,female,majority,20-29y,university,upper class,0.6812332078486962,True,before 2015,True,True,10000.0,sedan,0,0,1,False
40-64,male,majority,0-9y,university,upper class,0.4671555457007022,True,after 2015,False,False,16000.0,sedan,0,0,0,False
16-25,female,majority,0-9y,high school,working class,0.3941632454999797,True,before 2015,False,False,16000.0,sedan,0,0,0,True
40-64,female,majority,10-19y,university,upper class,0.6610607322734078,True,after 2015,True,True,14000.0,sedan,0,0,0,False
40-64,male,majority,20-29y,university,upper class,0.6651879748430346,False,before 2015,False,True,14000.0,sedan,2,0,1,False
16-25,female,majority,0-9y,high school,middle class,0.560770206632082,True,before 2015,False,True,11000.0,sedan,0,0,0,False
26-39,female,majority,10-19y,university,upper class,0.7454327103696547,False,after 2015,False,False,9000.0,sedan,0,0,0,False
26-39,male,majority,10-19y,university,middle class,0.53257435224505,True,before 2015,True,True,13000.0,sedan,1,0,2,False
26-39,female,majority,10-19y,high school,middle class,0.5267473391434415,True,after 2015,False,True,14000.0,sedan,0,0,0,False
16-25,female,minority,0-9y,none,poverty,0.4124517461654282,False,before 2015,False,False,14000.0,sedan,0,0,0,True
40-64,male,majority,20-29y,high school,working class,0.3871071449018297,False,before 2015,False,True,16000.0,sedan,0,0,6,False
65+,male,majority,10-19y,high school,middle class,0.5499938678343249,True,before 2015,True,True,9000.0,sedan,3,1,1,False
16-25,male,majority,0-9y,university,upper class,0.5853420947575604,True,before 2015,True,True,12000.0,sports car,0,0,0,True
65+,male,majority,30y+,none,middle class,0.5987396054343311,True,before 2015,True,True,14000.0,sedan,6,1,3,False
40-64,male,majority,20-29y,university,upper class,0.6026557000791793,True,after 2015,True,True,7000.0,sedan,4,0,6,False
26-39,female,majority,0-9y,high school,working class,0.5114570584803535,True,after 2015,True,True,11697.003206900365,sedan,0,0,0,False
40-64,female,majority,20-29y,high school,upper class,0.5586591735288894,False,before 2015,False,True,15000.0,sedan,3,0,2,False
40-64,male,majority,10-19y,high school,working class,0.6284070137170304,False,before 2015,False,False,13000.0,sedan,0,0,0,True
40-64,male,majority,0-9y,high school,working class,0.5057903732571783,True,before 2015,False,True,13000.0,sedan,0,0,0,False
26-39,female,majority,10-19y,university,upper class,0.7268184180645275,True,before 2015,True,True,15000.0,sedan,2,0,0,False
65+,male,majority,20-29y,university,upper class,0.6904423335733175,True,after 2015,True,True,9000.0,sedan,8,0,2,False
40-64,male,majority,20-29y,university,upper class,0.4796771646619314,False,after 2015,True,False,14000.0,sedan,1,0,2,False
26-39,male,majority,10-19y,university,upper class,0.613826977680089,True,after 2015,True,True,11000.0,sedan,3,1,0,False
40-64,female,majority,20-29y,none,working class,0.4405592041968235,True,after 2015,True,True,11000.0,sedan,1,0,2,False
16-25,female,majority,0-9y,none,middle class,0.634052597196068,True,before 2015,False,True,11697.003206900365,sedan,0,0,0,True
16-25,female,majority,0-9y,high school,poverty,0.4574695879943666,False,before 2015,False,False,11697.003206900365,sedan,0,0,0,False
26-39,male,majority,0-9y,none,poverty,0.3086490182004943,False,before 2015,False,True,14000.0,sedan,0,0,0,False
16-25,male,majority,0-9y,high school,poverty,0.2458351852340737,False,before 2015,True,True,11000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,high school,poverty,0.3056465190413162,False,before 2015,False,False,14000.0,sedan,0,0,0,True
26-39,male,majority,10-19y,high school,upper class,0.7440140862681482,True,before 2015,False,False,13000.0,sedan,2,0,1,False
40-64,male,majority,10-19y,university,upper class,0.6704645467899408,True,after 2015,True,True,14000.0,sedan,0,0,0,False
65+,female,majority,30y+,high school,upper class,0.6830407984824192,False,after 2015,True,True,10000.0,sedan,4,1,3,False
16-25,male,majority,0-9y,university,middle class,0.828628569053192,True,before 2015,False,False,13000.0,sedan,0,0,0,True
65+,male,majority,30y+,none,middle class,0.5236585383213973,True,before 2015,True,True,10000.0,sedan,12,2,2,False
65+,female,majority,30y+,high school,upper class,0.6293380939717407,True,before 2015,True,False,11000.0,sedan,2,0,2,False
16-25,male,majority,0-9y,high school,poverty,0.28372421050714,False,before 2015,False,True,15000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,university,working class,0.4576486815858435,True,after 2015,False,False,14000.0,sports car,0,0,0,True
16-25,female,majority,0-9y,high school,poverty,0.3049876423937953,False,before 2015,False,False,15000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,high school,working class,0.5517442884135392,False,before 2015,True,True,10000.0,sedan,0,0,0,True
16-25,male,minority,0-9y,none,poverty,0.3186855562451054,True,before 2015,True,False,9000.0,sedan,0,0,0,True
26-39,male,minority,10-19y,none,working class,0.436944194154781,True,before 2015,False,False,12000.0,sedan,3,0,0,False
40-64,male,majority,10-19y,university,upper class,0.6291939843221722,True,before 2015,True,True,7000.0,sedan,5,0,1,False
