Location,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Car_Age,Brand,Model,Price_log,Kilometers_Driven_log
Mumbai,CNG,Manual,First,37.24,998.0,58.16,5.0,12,Maruti,WagonR,0.5596157879354227,11.184421397998193
Pune,Diesel,Manual,First,19.67,1582.0,126.2,5.0,7,Hyundai,Creta1.6,2.5257286443082556,10.621327345686446
Chennai,Petrol,Manual,First,18.2,1199.0,88.7,5.0,11,Honda,JazzV,1.5040773967762742,10.736396675471232
Chennai,Diesel,Manual,First,20.77,1248.0,88.76,7.0,10,Maruti,ErtigaVDI,1.791759469228055,11.37366339763672
Coimbatore,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,9,Audi,A4New,2.8758219768814333,10.61324599890127
Hyderabad,LPG,Manual,First,29.54,814.0,55.2,5.0,10,Hyundai,EONLPG,0.8544153281560676,11.225243392518447
Jaipur,Diesel,Manual,First,23.08,1461.0,63.1,5.0,9,Nissan,MicraDiesel,1.252762968495368,11.373651903317787
Mumbai,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,6,Toyota,InnovaCrysta,2.8622008809294686,10.491274217438248
Pune,Diesel,Manual,First,20.54,1598.0,103.6,5.0,9,Volkswagen,VentoDiesel,1.6486586255873816,11.073334642132687
Chennai,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,10,Tata,IndicaVista,0.6678293725756554,11.096379186851246
Kochi,Petrol,Manual,First,21.56,1462.0,103.25,5.0,4,Maruti,CiazZeta,2.2975725511705014,10.153934938377683
Kolkata,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,10,Honda,City1.5,1.501852701754163,11.002099841204238
Jaipur,Diesel,Manual,First,25.2,1248.0,74.0,5.0,7,Maruti,SwiftVDI,1.7227665977411035,11.07324151347538
Delhi,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,8,Land Rover,RoverRange,3.295836866004329,11.184421397998193
Pune,Diesel,Automatic,Second,18.23651296194153,2179.0,115.0,5.0,10,Land Rover,RoverFreelander,2.8622008809294686,11.350406535472453
Delhi,Diesel,Manual,First,13.5,2477.0,175.56,7.0,8,Mitsubishi,PajeroSport,2.70805020110221,11.608235644774552
Kochi,Diesel,Manual,First,25.8,1498.0,98.6,5.0,6,Honda,AmazeS,1.6863989535702288,10.984444905965518
Jaipur,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5,Maruti,SwiftDDiS,1.7900914121273581,10.126631103850338
Kochi,Diesel,Manual,First,20.45,1461.0,83.8,5.0,8,Renault,Duster85PS,1.8468787684491346,11.257633135320098
Bangalore,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,8,Mercedes-Benz,NewC-Class,3.332204510175204,11.2708539037705
Kochi,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,8,BMW,3Series,2.920469789053444,10.403717237088715
Bangalore,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,7,Maruti,SCross,2.1102132003465894,10.922190457975935
Mumbai,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,7,Audi,A62011-2015,3.1570004211501135,10.932839076694297
Kolkata,Petrol,Manual,First,18.5,1197.0,80.0,5.0,12,Hyundai,i201.2,0.6259384308664954,10.73219219685162
Kolkata,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,12,Volkswagen,VentoPetrol,1.0473189942805592,10.404262840448617
Mumbai,Petrol,Manual,First,16.8,1497.0,116.3,5.0,10,Honda,CityCorporate,1.4469189829363254,10.857459351377972
Hyderabad,Diesel,Manual,First,23.08,1461.0,63.1,5.0,10,Nissan,MicraDiesel,1.4469189829363254,10.896739325546411
Hyderabad,Petrol,Manual,Second,20.92,998.0,67.1,5.0,9,Maruti,AltoK10,1.0116009116784799,10.896739325546411
Kochi,Petrol,Manual,First,17.5,1199.0,88.7,5.0,4,Honda,WRVi-VTEC,2.2925347571405443,10.530227800898475
Mumbai,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,15,Toyota,Innova2.5,1.3862943611198906,12.476099782743233
Bangalore,Diesel,Manual,First,19.01,1461.0,108.45,5.0,9,Renault,Duster110PS,2.0476928433652555,11.03488966402723
Delhi,Petrol,Manual,First,14.53,1798.0,138.1,5.0,10,Toyota,CorollaAltis,1.9095425048844386,11.38070749514252
Bangalore,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,9,Mahindra,SsangyongRexton,2.5257286443082556,11.184421397998193
Kolkata,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,12,Audi,A62.7,2.4423470353692043,10.46310334047155
Coimbatore,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,8,Volkswagen,Vento1.6,1.9430489167742813,10.922894283023263
Jaipur,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,13,Maruti,WagonR,0.6151856390902335,11.3363791990328
Kochi,Diesel,Manual,First,24.3,1248.0,88.5,5.0,4,Maruti,VitaraBrezza,2.155244505095337,10.821277160534018
Delhi,Petrol,Manual,First,18.15,1198.0,82.0,5.0,5,Mahindra,KUV100,1.5789787049493917,10.858998997563564
Pune,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,9,Mercedes-Benz,M-ClassML,3.332204510175204,11.350406535472453
Chennai,Diesel,Manual,First,22.07,1199.0,73.9,5.0,9,Volkswagen,PoloDiesel,1.6094379124341003,11.03488966402723
Delhi,Petrol,Manual,Second,19.7,796.0,46.3,5.0,14,Maruti,AltoLXi,0.22314355131420976,11.407564949312402
Kochi,Petrol,Manual,First,25.4,624.0,37.5,4.0,8,Tata,NanoLX,0.4252677354043441,9.888272386729648
Coimbatore,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5,Mahindra,KUV100,1.7191887763932197,10.000296608464188
Kochi,Petrol,Manual,First,18.5,1197.0,82.9,5.0,8,Hyundai,i20Magna,1.556037135706985,10.476921711213846
Bangalore,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8,Hyundai,Elantra2.0,2.180417459019838,10.744494236334926
Mumbai,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,6,Toyota,CorollaAltis,2.3135250330323798,10.859018228147887
Ahmedabad,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,14,Hyundai,ElantraCRDi,1.4469189829363254,10.968284492709508
Bangalore,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10,Toyota,InnovaCrysta,2.3933394562625097,11.166257427370521
Jaipur,Diesel,Manual,First,24.4,1120.0,71.0,5.0,8,Hyundai,Xcent1.1,1.3480731482996928,11.225243392518447
Jaipur,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,10,Mahindra,TharCRDe,1.7047480922384253,11.235853571630463
Kochi,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,7,Audi,A42.0,3.064791809485486,9.52134826973146
Delhi,Diesel,Manual,First,22.9,1248.0,74.0,5.0,8,Maruti,SwiftLDI,1.4469189829363254,10.858998997563564
Kolkata,Diesel,Manual,First,17.8,1248.0,75.0,5.0,8,Maruti,SwiftLdi,1.1939224684724346,10.87804719253426
Delhi,Diesel,Manual,First,28.4,1248.0,74.0,5.0,9,Maruti,SwiftVDI,1.3480731482996928,11.092092879730941
Chennai,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,7,Hyundai,Grandi10,1.2809338454620642,10.896739325546411
Kolkata,Petrol,Manual,First,15.04,1598.0,103.2,5.0,7,Volkswagen,Vento2013-2015,1.3837912309017721,10.571316925111784
Kochi,Petrol,Manual,First,25.17,799.0,53.3,5.0,5,Renault,KWIDRXT,1.1939224684724346,9.713657880251851
Kolkata,Petrol,Manual,First,20.36,1197.0,78.9,5.0,12,Hyundai,i10Asta,0.7275486072772777,10.373491181781864
Hyderabad,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,12,Nissan,X-TrailSLX,2.0476928433652555,11.71023415157243
Hyderabad,Petrol,Manual,First,18.2,998.0,67.1,5.0,12,Maruti,ZenEstilo,0.8109302162163288,10.578979797857352
Mumbai,Diesel,Manual,First,13.68,2393.0,147.8,8.0,5,Toyota,InnovaCrysta,2.803360380906535,9.998797732340453
Bangalore,Diesel,Manual,First,20.0,1399.0,68.0,5.0,12,Ford,FigoDiesel,1.0116009116784799,11.184421397998193
Delhi,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,7,Mercedes-Benz,NewC-Class,3.2846635654062037,10.968198289528557
